confidence,latitude,longitude,majority,crop,avg_temperature,koppen_code,ClimateCode,Climate
96.03072627,37.47630619,-101.5583834,1,Corn,12.68524988,6,BSk,Cold Semi-Arid
95.75549765,37.16099092,-101.180005,1,Corn,12.99343741,6,BSk,Cold Semi-Arid
95.05285226,40.56639586,-101.9367617,1,Corn,9.763812388,6,BSk,Cold Semi-Arid
94.72481954,37.35018008,-101.3061311,1,Corn,12.8569374,6,BSk,Cold Semi-Arid
94.55189559,36.90873869,-101.4322572,1,Corn,12.99283335,6,BSk,Cold Semi-Arid
94.42120032,37.16099092,-101.4322572,1,Corn,12.84479165,6,BSk,Cold Semi-Arid
94.38251219,40.94477418,-101.8736987,1,Corn,9.674708525,6,BSk,Cold Semi-Arid
94.29137498,40.62945892,-101.9998248,1,Corn,9.763812388,6,BSk,Cold Semi-Arid
94.28175565,36.90873869,-101.3691942,1,Corn,12.99283335,6,BSk,Cold Semi-Arid
94.17828812,36.15198202,-100.9908158,1,Corn,13.76710399,6,BSk,Cold Semi-Arid
93.84746824,31.04387436,-97.08090587,1,Corn,19.50622932,9,Cfa,Humid Subtropical
91.87225773,30.41324377,-97.45928425,1,Corn,19.83545828,9,Cfa,Humid Subtropical
91.71407086,37.66549536,-87.74757254,1,Corn,13.62747914,9,Cfa,Humid Subtropical
91.13783942,40.62945892,-99.54036533,1,Corn,9.855937362,9,Cfa,Humid Subtropical
90.93865585,39.557387,-89.89171668,1,Corn,11.46106249,9,Cfa,Humid Subtropical
89.56071415,40.44026976,-99.16198695,1,Corn,10.04493751,9,Cfa,Humid Subtropical
89.53651324,40.50333281,-99.03586083,1,Corn,10.00614566,9,Cfa,Humid Subtropical
89.53407273,30.60243295,-97.52234731,1,Corn,19.46504148,9,Cfa,Humid Subtropical
89.24441629,40.44026976,-99.47730227,1,Corn,10.00993761,9,Cfa,Humid Subtropical
89.17476713,39.49432395,-83.58541038,1,Corn,10.9056043,9,Cfa,Humid Subtropical
95.66696216,40.88171113,-98.59441939,1,Corn,9.925604155,18,Dfa,Hot Summer Continental
94.59598773,40.94477418,-98.59441939,1,Corn,9.925604155,18,Dfa,Hot Summer Continental
94.27250429,40.81864808,-98.65748245,1,Corn,10.06639588,18,Dfa,Hot Summer Continental
94.06031564,42.3952244,-91.46829326,1,Corn,8.384395629,18,Dfa,Hot Summer Continental
94.02349612,40.88171113,-98.53135632,1,Corn,9.925604155,18,Dfa,Hot Summer Continental
93.92027166,40.81864808,-97.90072569,1,Corn,10.22593764,18,Dfa,Hot Summer Continental
93.77572676,40.81864808,-97.96378876,1,Corn,10.22593764,18,Dfa,Hot Summer Continental
93.71082845,40.75558502,-97.90072569,1,Corn,10.22593764,18,Dfa,Hot Summer Continental
93.66408,40.69252197,-98.53135632,1,Corn,10.06639588,18,Dfa,Hot Summer Continental
93.57389241,42.64747661,-88.81964461,1,Corn,8.189916641,18,Dfa,Hot Summer Continental
91.21604603,43.46729628,-92.66649146,1,Corn,7.058312487,19,Dfb,Warm Summer Continental
87.64060072,43.21504407,-84.78360858,1,Corn,8.067479139,19,Dfb,Warm Summer Continental
86.61580211,43.40423323,-92.66649146,1,Corn,7.058312487,19,Dfb,Warm Summer Continental
86.27604874,43.34117018,-92.6034284,1,Corn,7.058312487,19,Dfb,Warm Summer Continental
86.12472744,43.40423323,-92.47730227,1,Corn,7.005770627,19,Dfb,Warm Summer Continental
85.43254748,45.7375661,-96.32414912,1,Corn,6.121750047,19,Dfb,Warm Summer Continental
84.38433353,43.46729628,-92.54036533,1,Corn,7.058312487,19,Dfb,Warm Summer Continental
83.77087938,43.34117018,-89.38721218,1,Corn,7.449249915,19,Dfb,Warm Summer Continental
83.64272154,43.40423323,-92.35117614,1,Corn,7.005770627,19,Dfb,Warm Summer Continental
83.10721925,43.59342238,-92.47730227,1,Corn,6.816270905,19,Dfb,Warm Summer Continental
94.11644519,32.36819859,-101.6214464,2,Cotton,17.08229172,5,BSh,Hot Semi-Arid
93.21309622,31.737568,-101.6214464,2,Cotton,17.14958354,5,BSh,Hot Semi-Arid
91.47763995,32.4943247,-101.9367617,2,Cotton,17.03739591,5,BSh,Hot Semi-Arid
88.50214495,32.43126165,-101.8106356,2,Cotton,16.95412509,5,BSh,Hot Semi-Arid
87.34925191,31.737568,-101.5583834,2,Cotton,17.14958354,5,BSh,Hot Semi-Arid
85.5085981,32.4943247,-101.8106356,2,Cotton,16.95412509,5,BSh,Hot Semi-Arid
83.56593722,32.30513553,-101.9367617,2,Cotton,17.11493746,5,BSh,Hot Semi-Arid
82.50358265,32.36819859,-101.8106356,2,Cotton,16.95412509,5,BSh,Hot Semi-Arid
80.6525036,32.4943247,-101.243068,2,Cotton,17.40908349,5,BSh,Hot Semi-Arid
79.46357727,32.30513553,-101.8736987,2,Cotton,17.11493746,5,BSh,Hot Semi-Arid
99.10562778,32.68351388,-102.189014,2,Cotton,16.28085423,6,BSk,Cold Semi-Arid
99.06002284,32.62045082,-102.252077,2,Cotton,16.60764579,6,BSk,Cold Semi-Arid
98.68696034,32.74657694,-102.0628879,2,Cotton,16.15362489,6,BSk,Cold Semi-Arid
98.5915613,33.06189223,-101.8736987,2,Cotton,15.84537486,6,BSk,Cold Semi-Arid
98.13419462,32.68351388,-102.1259509,2,Cotton,16.15362489,6,BSk,Cold Semi-Arid
98.09049176,32.99882917,-101.8736987,2,Cotton,16.0147084,6,BSk,Cold Semi-Arid
98.05425273,33.06189223,-101.9367617,2,Cotton,15.84537486,6,BSk,Cold Semi-Arid
97.91537325,33.31414446,-101.6214464,2,Cotton,15.88685445,6,BSk,Cold Semi-Arid
97.90874936,33.31414446,-101.8736987,2,Cotton,15.64475012,6,BSk,Cold Semi-Arid
97.88547541,32.74657694,-102.1259509,2,Cotton,16.15362489,6,BSk,Cold Semi-Arid
97.73159992,35.96279285,-90.207032,2,Cotton,15.45608324,9,Cfa,Humid Subtropical
97.26809556,35.83666674,-90.27009506,2,Cotton,15.45608324,9,Cfa,Humid Subtropical
97.05259226,34.82765783,-100.170996,2,Cotton,16.10675003,9,Cfa,Humid Subtropical
96.79999982,35.96279285,-90.33315813,2,Cotton,15.45608324,9,Cfa,Humid Subtropical
95.82726161,35.83666674,-90.33315813,2,Cotton,15.45608324,9,Cfa,Humid Subtropical
95.06793314,32.55738776,-100.6755005,2,Cotton,17.18577083,9,Cfa,Humid Subtropical
94.32384822,32.43126165,-100.6124374,2,Cotton,17.33168765,9,Cfa,Humid Subtropical
94.20310231,36.15198202,-90.08090587,2,Cotton,15.26522914,9,Cfa,Humid Subtropical
94.12891463,33.6925228,-101.0538788,2,Cotton,15.46637489,9,Cfa,Humid Subtropical
93.89796283,36.08891896,-90.14396894,2,Cotton,15.26522914,9,Cfa,Humid Subtropical
76.96236735,36.08891896,-91.02685182,3,Rice,15.10897923,9,Cfa,Humid Subtropical
75.37938128,36.08891896,-90.7115365,3,Rice,15.18247914,9,Cfa,Humid Subtropical
99.46916989,38.8636934,-121.8646897,3,Rice,16.52722915,12,Csa,Mediterranean (hot summer)
98.86469987,39.43126089,-121.8016266,3,Rice,16.34366683,12,Csa,Mediterranean (hot summer)
98.86218218,39.49432395,-121.8016266,3,Rice,16.34366683,12,Csa,Mediterranean (hot summer)
98.56063724,39.49432395,-122.1169419,3,Rice,16.05945814,12,Csa,Mediterranean (hot summer)
98.14355888,38.73756729,-121.5493743,3,Rice,16.28366673,12,Csa,Mediterranean (hot summer)
97.36871894,39.557387,-121.8016266,3,Rice,16.37689594,12,Csa,Mediterranean (hot summer)
97.09335698,38.92675646,-121.4863113,3,Rice,16.54247928,12,Csa,Mediterranean (hot summer)
97.05385105,39.24207173,-121.5493743,3,Rice,16.84295849,12,Csa,Mediterranean (hot summer)
96.38723439,38.8636934,-121.4863113,3,Rice,16.54247928,12,Csa,Mediterranean (hot summer)
96.33692038,39.557387,-121.8646897,3,Rice,16.03285424,12,Csa,Mediterranean (hot summer)
95.85359951,26.44027099,-97.52234731,4,Sorghum,22.62233313,9,Cfa,Humid Subtropical
95.22770273,26.37720792,-97.58541038,4,Sorghum,22.62233313,9,Cfa,Humid Subtropical
94.83020156,26.37720792,-97.64847344,4,Sorghum,22.62233313,9,Cfa,Humid Subtropical
94.62356141,26.50333405,-97.58541038,4,Sorghum,22.36725005,9,Cfa,Humid Subtropical
92.45364403,26.44027099,-97.64847344,4,Sorghum,22.62233313,9,Cfa,Humid Subtropical
89.28941833,26.31414486,-97.58541038,4,Sorghum,22.77687502,9,Cfa,Humid Subtropical
88.86019769,26.18801874,-97.45928425,4,Sorghum,22.63155866,9,Cfa,Humid Subtropical
87.7524704,26.44027099,-97.7115365,4,Sorghum,22.93472926,9,Cfa,Humid Subtropical
86.62541181,26.31414486,-97.45928425,4,Sorghum,22.63155866,9,Cfa,Humid Subtropical
86.35117275,26.37720792,-97.90072569,4,Sorghum,22.99820844,9,Cfa,Humid Subtropical
97.42764098,33.31414446,-90.77459957,5,Soybeans,17.69258308,9,Cfa,Humid Subtropical
